greenyellow black magenta green purple cyan brown pink blue turquoise grey
ACOT8 -0.196946802853623 -0.523943439192122 -0.280317991418648 -0.0533857779877433 0.38915448360824 0.316240371329948 0.381882974566261 0.471067391165267 0.622558842408986 0.805925723223721 0.265801824020262
ACOT9 0.347969651283784 0.3526053950453 0.305337672420771 0.640398336202022 0.530509492288136 0.209019547833513 -0.100059295420991 0.428364977914286 0.595888841218448 0.214709727568394 0.0340683493910168
ACOX1 0.103227909288923 0.256176936641158 0.248243708088112 0.387522404109552 0.363896527380029 0.073581786684212 0.113652293526644 0.268571789101334 0.47385385612179 0.261648609079684 -0.0216674722766736
ACOX3 -0.158923693981451 -0.312986162718162 -0.0132530468875563 0.0363493542305017 0.489633418770005 0.151154445917858 0.489987945635718 0.485169602742961 0.627864697908984 0.777216653235453 0.169505362136382
ACP1 -0.0166674098674207 0.592793887666879 0.377690309347609 0.582428738541844 0.393802505273683 0.347540555758267 0.0602989082263692 0.180025737175234 0.59604367138356 0.192244343995462 -0.149136969041219
ACP2 -0.0737396337828436 -0.0991777638122755 -0.0515070253838936 0.184897568426411 0.348247395452522 0.337406445135451 0.189186877501596 0.376949923585957 0.580438991992604 0.513059571183856 -0.234644853540233
ACP5 -0.300181052863424 -0.207498794391101 -0.216664852431972 0.0239616786613601 0.253026497879013 0.372996910876767 0.467232085149276 0.384894941245294 0.708610258791814 0.763845679240301 -0.130304160445632
ACP6 -0.288551560526602 -0.360188435858183 -0.154936670042262 -0.114797799908535 0.296576060375732 0.0940315726008596 0.463680977486867 0.294275568810184 0.475149735418283 0.674608829446001 0.154534558875574
ACPT 0.149102554427654 0.219444736444489 0.270938782202875 0.350929048586739 0.333111955106236 0.150456068564156 -0.132524744986692 0.0197395012321936 0.201183513337886 -0.0116372257822115 0.209892085006205
ACRBP -0.214858977581257 0.0731644497780075 0.00773262496433784 -0.134247272048537 -0.147999045911079 0.0275554409174806 0.107674322781463 -0.2731828793682 -0.128612131759954 -0.0762632109745111 -0.0640592210600717
ACRC 0.211811712389453 0.0953504458875486 0.338534100977169 0.395341889060231 0.512837679242534 0.0981202338565801 -0.0414309072742749 0.314368458925336 0.382532128965828 0.21496410388156 0.221482113097122
ACSF2 -0.470836563179508 -0.266902110616583 -0.194544092554258 -0.0418182248156372 0.259714233260457 0.388285121126034 0.35113776985844 0.077327380636451 0.502779691237715 0.57069228216135 0.322369627626749
ACSF3 -0.182726803268178 -0.542967009409548 -0.238296140981967 -0.214220374866894 0.299474972573009 0.059952472773948 0.584000016340954 0.446283724471169 0.509459131775356 0.846098806592636 0.0750458573862843
ACSL1 0.235905293904639 0.164763395776887 0.141733217213888 0.290137170377883 0.147862117453522 0.150866838023273 -0.30226693496768 0.0990641796846545 0.0434800592915474 -0.174105882972715 0.0673555509013095
ACSL3 0.351945985791027 0.167323055204895 0.40206751744294 0.17393619895646 0.342130569121491 -0.467143945326075 0.134310769866391 0.224796436354482 0.0382104665896261 0.0901564049509438 0.0332734448635433
ACSL4 0.187662175496819 0.615838009628185 0.570516098532339 0.522490867817514 0.397592891974604 -0.0872661228689936 0.0634950398409379 0.0625693076454786 0.329582866405833 0.0166220804947848 0.0220345657997421
ACSL5 -0.48574206748377 -0.25320770210538 0.0108711576290282 -0.203633504383888 0.361665543333389 -0.121687747516731 0.796362732541781 0.195528796098941 0.486934940815884 0.810586056193478 0.266610702659128
ACSL6 -0.424690525221744 -0.427829036068814 -0.144105832683554 -0.343453962488992 0.1894944615015 -0.140088283629227 0.610340294206436 0.171667378174763 0.240465909526324 0.640865297539433 0.259463782196092
ACSM1 -0.0868226465813883 0.0916884682667781 0.0632003494354627 -0.0458978146762824 0.0116281069249397 -0.112903021975028 0.215670861271552 0.0648864279410418 0.0107761861906911 0.087337453887035 0.0184027575589987
